primary,detailed,description
GENERAL_SERVICES,GENERAL_SERVICES_AUTOMOTIVE,"Oil changes, car washes, repairs, and towing"
GENERAL_SERVICES,GENERAL_SERVICES_CHILDCARE,Babysitters and daycare
GENERAL_SERVICES,GENERAL_SERVICES_CONSULTING_AND_LEGAL,Consulting and legal services
GENERAL_SERVICES,GENERAL_SERVICES_EDUCATION,"Elementary, high school, professional schools, and college tuition"
GENERAL_SERVICES,GENERAL_SERVICES_INSURANCE,"Insurance for auto, home, and healthcare"
GENERAL_SERVICES,GENERAL_SERVICES_POSTAGE_AND_SHIPPING,"Mail, packaging, and shipping services"
GENERAL_SERVICES,GENERAL_SERVICES_STORAGE,Storage services and facilities
GENERAL_SERVICES,GENERAL_SERVICES_OTHER_GENERAL_SERVICES,"Other miscellaneous services, including advertising and cloud storage "
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_DONATIONS,"Charitable, political, and religious donations"
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_GOVERNMENT_DEPARTMENTS_AND_AGENCIES,"Government departments and agencies, such as driving licences, and passport renewal"
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_TAX_PAYMENT,"Tax payments, including income and property taxes"
GOVERNMENT_AND_NON_PROFIT,GOVERNMENT_AND_NON_PROFIT_OTHER_GOVERNMENT_AND_NON_PROFIT,Other miscellaneous government and non-profit agencies
TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Taxi and ride share services
TRAVEL,TRAVEL_FLIGHTS,Airline expenses
RENT_AND_UTILITIES,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,Gas and electricity bills
RENT_AND_UTILITIES,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Internet and cable bills
RENT_AND_UTILITIES,RENT_AND_UTILITIES_RENT,Rent payment
RENT_AND_UTILITIES,RENT_AND_UTILITIES_TELEPHONE,Cell phone bills
